,designer_cat,clothing_type_master,size_list,color,price,title,condition,shipping_from,seller_name,seller_transactions,seller_feedback,seller_listings,like_amount,number_of_photos,new_price,seller_rating,item_description,likes,shipping_cost
18,"Patagonia , Streetwear , ",,Size: US XXL / EU 58 / 5,Color: Black,$135,Patagonia Nano Puffer Black Size XXL Puff Jacket,Condition: Gently Used,,"SleptOnGoods
(3440)",(3440),133 Feedback,13847 Listings for Sale,,,$135,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: Medium, see measurements for fit

- Color: Black

- Condition: Pre-owned, lightly worn. Has a company logo on the back neck area. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 21"" inches
Length (top to bottom) = 27"" inches
Shoulders (seam to seam) = 17"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",2,+$21
19,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: Blue,$72,Patagonia Nano puff quarter primaloft jacket,Condition: Gently Used,,"Borzii001
(159)",(159),133 Feedback,13847 Listings for Sale,,,$72,,"Untitled Document
CATCH + RELEASE

NEW PATAGONIA NANO PUFF JACKET

- Size: Small, see measurements for fit

- Color: Green

- Condition: Brand new with tags, discontinued. from Fall 2013. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 22"" inches
Length (top to bottom) = 26 1/2"" inches
Shoulders (seam to seam) = 18 1/2"" inches
Sleeve (shoulder to cuff) = 25 1/2"" inches

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",1,+$25
20,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: White,$121,Patagonia Nano Puff Vest Mens Size M Black Primaloft,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$121,,"Untitled Document
CATCH + RELEASE

NEW PATAGONIA NANO PUFF JACKET

- Size: Medium, see measurements for fit

- Color: Fluid Green

- Condition: Brand new with tags, discontinued. from Fall 2017. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 22"" inches
Length (top to bottom) = 28"" inches
Shoulders (seam to seam) = 18 1/2"" inches
Sleeve (shoulder to cuff) = 27"" inches

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",3,+$25
21,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: White,$305,New Patagonia Nano Puff Jacket Mens Size S Green Primaloft FA13,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$305,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: Medium, see measurements for fit

- Color: Blue

- Condition: Pre-owned, lightly worn. Fall 2015 color. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 21"" inches
Length (top to bottom) = 27"" inches
Shoulders (seam to seam) = 16 1/2"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",11,+$21
22,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: White,$294,New Patagonia Nano Puff Jacket Mens Size M Fluid Green Primaloft FA17,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$294,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF SWEATER JACKET

- Size: Medium, see measurements for fit

- Color: Black

- Condition: Pre-owned, light wear. Features company logo. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 22 1/2"" inches
Length (top to bottom) = 27 1/2"" inches
Shoulders (seam to seam) = 18"" inches
Sleeve (neck seam to cuff) = 26 1/2"" inches

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",5,+$21
23,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: White,$126,Patagonia Nano Puff Vest Mens Size M Blue Primaloft,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$126,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: Large, see measurements for fit

- Color: Black

- Condition: Pre-owned, lightly worn. Has a company logo on the chest. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 23"" inches
Length (top to bottom) = 28"" inches
Shoulders (seam to seam) = 18"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",2,+$21
24,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: White,$133,Patagonia Nano Puff Sweater Jacket Size M Black 84211,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$133,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: X-Large, see measurements for fit

- Color: Blue

- Condition: Pre-owned, looks and feels barely worn. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 24 1/2"" inches
Length (top to bottom) = 29"" inches
Shoulders (seam to seam) = 19"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",7,+$21
25,"Patagonia , ",,Size: US L / EU 52-54 / 3,Color: White,$121,Patagonia Nano Puff Vest Mens Size L Black Primaloft,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$121,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF PULLOVER

- Size: Large, see measurements for fit

- Color: Green

- Condition: Pre-owned, light wear. Discontinued style. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 24 1/2"" inches
Length (top to bottom) = 27"" inches
Shoulders (seam to seam) = 19 1/2"" inches
Sleeve (neck seam to cuff) = 26 1/2"" inches

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",1,+$23
26,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: White,$144,Patagonia Nano Puff Vest Mens Size XL Blue Primaloft,Condition: Used,,"lucidstock
(446)",(446),1 Feedback,3 Listings for Sale,,,$144,,NWOT,2,+$8
27,"Patagonia , ",,Size: US L / EU 52-54 / 3,Color: White,$202,Patagonia Nano Puff Pullover Sweater Jacket Size L Green,Condition: Used,,"lucidstock
(446)",(446),7 Feedback,1 Listing for Sale,,,$202,,Andes Blue Nano Puff jacket in great condition. Only worn for 1 winter season. XXL size and works great with layering. No signs of wear and tear and all zippers work no issues. Retail is $199,14,+$15
28,"Patagonia , ",,Size: US XXL / EU 58 / 5,Color: Silver,$165,Patagonia Nano Puff Jacket,Condition: New,,"Musicforairports1
(3)",(3),194 Feedback,767 Listings for Sale,,,$165,,"Best offer

Condition : 9-10

Size : XL

Worldwide shipping
3-5 business days - exspress
15-35 business days - standard

All my items are original and accurately described.
I appreciate if potential buyers message me
if would like to require any further info. Thanks",,+$25
29,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: Blue,$103,Patagonia Nano Puff Jacket,Condition: Gently Used,,"ageahel
(6)",(6),13 Feedback,11 Listings for Sale,,,$103,,"Warm, windproof, water-resistant—the Nano Puff Hoody by Patagonia uses incredibly lightweight and highly compressible 60-g PrimaLoft Gold Insulation Eco 100% postconsumer recycled polyester with P.U.R.E. technology, wrapped in a 100% recycled polyester shell and lining. Fair Trade Certified sewn. In excellent condition. NWT. Never worn. Has company Logo but can be removed. Unisex. Wear everyday, fall/winter. Wear to work, school, or just about anywhere. With jeans, slacks, sneakers or boots.",,+$12
30,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Red,$95,Patagonia Nano Puff Jacket,Condition: Used,,"honzakolar
(0)",(0),422 Feedback,730 Listings for Sale,,,$95,,"JAKET BURBERRY
SIZE :L x P ( 64 x 76) / 25, 2 X 29,92 ( XL )
Condition : 90% Good
see picture detail
.
***
Any serious flaws have been photographed

***
-delivery timing varies and delay sometimes happen, this is beyond my control (everything can happen so don't need make panic because of small delay )

***
Don't worry about customs tax or fees. I always declare as ""GIFT"" and put the value item $10 - 20**

***
Please leave phone number for shipping details
If you have any question, don't hesitate to ask

***
No refaund , no retrun ,feel free to ask

thanks",,+$40
31,"Patagonia , ",,Size: US XXL / EU 58 / 5,Color: Blue,$90,Patagonia nano puff jacket,Condition: Gently Used,,"Conradsosa
(21)",(21),7 Feedback,247 Listings for Sale,,,$90,,"-ALWAYS WELCOME BEST & POSSIBLE OFFER, DONT WAIT FOR PRICE DROP !
-SELLING FAST & BEST DEAL !
-MAKE SURE PAYPAL READY

Brand : Patagonia

Category : Top

Condition : 8.5/10 Good. see photos for any flaws and defects.

Size : fits ladies M international

REFER TO BELOW MEASUREMENTS FOR BEST SIZING :

Armpit to armpit 21.5”inches
Chest 43”inches
Total shirt length 25.5”inches

Shipping :
20 USD Worldwide except ISRAEL
Via Express Shipping
(7 business days)
Full tracking will be provided
Item will be shipped as soon as payment received

Payment preferred : Paypal

THANK YOU

Supreme/Comme Des Garcon/Gucci/Chanel/Louis Vuitton/Undercover/Goodenough/Nike/Offwhite/Kaws/Bape/Burberry/Burberrys/Moncler/Issey Miyake/Yves Saint Laurent/YSL/Adidas/Undercover/Fred Perry/Lacoste/Hysteric Glamour/Miu Miu/Junya Watanabe/Lanvin/Porter/Balenciaga/Dolce & Gabbana/Alexander McQueen/Tsumori Chisato/Swagger/Hype/Number Nine/Stussy/Neighborhood/Visvim/Vetements/Yohji Yamamoto/Prada/Fendi/Saint Laurent/Nigo/Champion/Kappa/Vintage

reference : EL3",,+$20
32,"Patagonia , ",,Size: US L / EU 52-54 / 3,Color: Dark grey,$160,Patagonia nano puff jacket,Condition: New,,"b3nici0
(20)",(20),2 Feedback,35 Listings for Sale,,,$160,,"Primaloft jacket that can be used as a mid layer or a light jacket.

Zipper pockets at sides and chest. Chest pocket has a small hole for earphones cords.

8/10 used condition. Minor defects from wear (pics 8, 9, 10).

📦🚚 Shipping
🇨🇦 Canada - ~1 to 7 business days for most cities. Untracked shipping may be used. Please let me know if you are rural.
🇺🇸 US - ~4 to 7 business days. No duty fees.
🌏 Worldwide - ~7 to 45 business days. There may be fees upon delivery and delays with customs. Untracked shipping may be used.

These are not guarantees; they are average times and things like holidays, work stoppages, accidents, etc can affect it.

Contact me to arrange faster shipping via DHL/UPS/Fedex. If you have special shipping needs (PO box, no Fedex, do not safe drop, etc) then please tell me when purchasing.

💵 Please have your PayPal ready. Accepting offers for most items.

⚠️ Please leave your phone number after purchasing.",,+$0
33,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Blue,$64,Men’s Patagonia Nano puff vest,Condition: Gently Used,,"DanTEngland
(0)",(0),254 Feedback,1620 Listings for Sale,,,$64,,"Style:
Timberland Similiar To North Face Nuptse Style Thermal Fall '07 Men's Brown Quilted Puffer Jacket Size Large Loose Fit (Could easily fit an XL)
Features:
​Full zip front closure with wind flap
Ultra fill down alternative to keep you warm and toasty this winter
Multiple logos and awesome design
Street yellow geometric pattern on the inside and swag brown exterior
4 pocket front design
Hidden ribbed cuffs & double cinchcord bottom lock in the perfect fit
Perfect for:
​Skiing, snow sports, athletics, casual wear, backpacking, guide work, streetwear, or to class
Model Measurements:
5' 11"" 185 pounds (Fits oversized on model, runs loose large or XL)
Jacket Measurements:​
Shoulder to shoulder 22.5 inches
Pit to pit 26 inches
Top to bottom 32 inches
Sleeve length 26 inches
Condition:
Excellent mint condition with no rips, holes or stains and looks barely worn could be deadstock
Comes professionally washed & Ships within 24 hours
Please check out my store & continue shopping",,+$10
34,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: Blue,$120,Patagonia Nano Puff Jacket Men's Small Sprouted Green . New,Condition: Used,,"Kenji_thriftstore
(361)",(361),39 Feedback,32 Listings for Sale,,,$120,,,,
35,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: Green,$72,Patagonia Nano Puffer Goose Down Vest,Condition: Gently Used,,"gambledeals
(16)",(16),84 Feedback,182 Listings for Sale,,,$72,,,,
36,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: Black,$130,RARE Patagonia Nanopuff Jacket “Pea Green”,Condition: Gently Used,,"VP_StoreVintage
(927)",(927),275 Feedback,310 Listings for Sale,,,$130,,,,
37,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Black,$140,Patagonia Men's Nano Puff Hooded Jacket,Condition: Gently Used,,"TateCarlson
(0)",(0),96 Feedback,162 Listings for Sale,,,$140,,,,
38,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: Gray,$225,Patagonia Black Nano Puff Mens Jacket L,Condition: New,,"ecofriendlyfashio6829
(18)",(18),,,,,$225,,,,
39,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: Black,$120,PATAGONIA Men's Nano Puff Hoody grey Medium,Condition: Gently Used,,"aldocera
(3)",(3),,,,,$120,,,,
40,"Patagonia , ",,Size: US XS / EU 42 / 0,Color: Blue,$65,Patagonia Women's Nano Puff Puffer Jacket Ultramarine blue,Condition: Used,,"KUSAMI_GOODS
(2)",(2),,,,,$65,,,,
41,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Dark gray,$150,JACKET PATAGONIA blue nano puffer coach .,Condition: Gently Used,,"Luckyhandtohand
(2)",(2),,,,,$150,,,,
42,"Patagonia , Streetwear , ",,Size: US M / EU 48-50 / 2,Color: Blue,$64,Patagonia dark grey Nano Puff,Condition: Gently Used,,"DanTEngland
(0)",(0),,,,,$64,,,,
43,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Grey,$175,Patagonia Men’s XL Nano Puff Vest,Condition: Gently Used,,"alexdaniel99
(2)",(2),,,,,$175,,,,
44,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Pink,$116,NWT Patagonia Deadstock Spring ‘19 Hooded Nano Puff Jacket,Condition: Used,,"mieus1992
(457)",(457),,,,,$116,,,,
45,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: Light blue,$120,NANO PUFF PULLOVER,Condition: Gently Used,,"ossicle
(160)",(160),,,,,$120,,,,
46,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Red,$50,Nano Puff Pullover,Condition: Gently Used,,"Ziatroutbum
(1)",(1),,,,,$50,,,,
47,"Patagonia , ",,Size: US XXL / EU 58 / 5,Color: Black,$48,Nano-Puff Vest,Condition: Gently Used,,"tony86
(186)",(186),,,,,$48,,,,
48,"Patagonia , ",,Size: US XXL / EU 58 / 5,Color: Brown,$72,Nano-Puff Vest,Condition: Gently Used,,"Dragonslayin
(549)",(549),,,,,$72,,,,
49,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: Navy,$92,Nano Puffer,Condition: Used,,"chadacadabra
(202)",(202),,,,,$92,,,,
50,"Patagonia , ",,Size: US XXL / EU 58 / 5,Color: Red,$180,Blue Down Nano-Puffer Jacket,Condition: Gently Used,,"vintagefinds5
(0)",(0),,,,,$180,,,,
51,"Patagonia , ",,Size: US L / EU 52-54 / 3,,,Dirt Roamer Soft Shell Jacket,,,,,,,,,,,,,
52,"Nike , ",,Size: US M / EU 48-50 / 2,,,Nike Ultimatum Hybrid primaloft jacket with hood insulated,,,,,,,,,,,,,
53,"Ski , Streetwear , Timberland , ",,Size: US L / EU 52-54 / 3,,,Fall '07 Timberland Down Alternative Jacket Large XL Puffer,,,,,,,,,,,,,
54,"Patagonia , Vintage , ",,Size: US S / EU 44-46 / 1,,,Nano Light Puff Rider Jacket Navy 29450F5,,,,,,,,,,,,,
55,"Patagonia , ",,Size: US S / EU 44-46 / 1,,,Vintage X Patagonia limited nano hybrid jacket,,,,,,,,,,,,,
